Reference ID,,PMID,Journal_Name,Year,Volume,Issue,First_Page,Author,Title
24,,7966160,Journal of medicinal chemistry,1994,37,23,3994-4002,"B Waszkowycz, D E Clark, D Frenkel, J Li, C W Murray, B Robson, D R Westhead",PRO_LIGAND: an approach to de novo molecular design. 2. Design of novel molecules from molecular field analysis (MFA) models and pharmacophores.
25,,7990121,Journal of medicinal chemistry,1994,37,24,4227-36,"V Kumar, J H Ackerman, M D Alexander, M R Bell, R G Christiansen, J S Dung, E P Jaeger, J L Herrmann, M E Krolski, P McKloskey",Androgen receptor affinity of 5'-acyl furanosteroids.
26,,8164266,Journal of medicinal chemistry,1994,37,8,1224-30,"R M Hoyte, K Borderon, K Bryson, R Allen, R B Hochberg, T J Brown",Synthesis and evaluation of 7 alpha-iodo-5 alpha-dihydrotestosterone as a potential radioligand for androgen receptor.
27,,8627601,Journal of medicinal chemistry,1996,39,9,1778-89,"L G Hamann, L J Farmer, M G Johnson, S L Bender, D E Mais, M W Wang, D Crombie, M E Goldman, T K Jones",Synthesis and biological activity of novel nonsteroidal progesterone receptor antagonists based on cyclocymopol monomethyl ether.
28,,8661347,Toxicology & Applied Pharmacology,1996,137,,219-27,"Waller, C.L. ; Juma, B.W. ; Gray, L.E., Jr. ; Kelce, W.R.",Three-dimensional quantitative structure--activity relationships for androgen receptor ligands
29,,9073609,Toxicology and applied pharmacology,1997,143,1,205-12,"K W Gaido, L S Leonard, S Lovell, J C Gould, D Babaï, C J Portier, D P McDonnell",Evaluation of chemicals with endocrine modulating activity in a yeast-based steroid hormone receptor gene transcription assay.
30,,9111629,Urology,1997,49,4,580-6; discussion 586-9,"J Simard, S M Singh, F Labrie","Comparison of in vitro effects of the pure antiandrogens OH-flutamide, Casodex, and nilutamide on androgen-sensitive parameters."
31,,9358642,Journal of natural products,1997,60,10,997-1002,"O Shirota, K Takizawa, S Sekita, M Satake, Y Hirayama, Y Hakamata, T Hayashi, T Yanagawa",Antiandrogenic natural Diels--Alder-type adducts from Brosimum rubescens.
32,,9464360,Journal of medicinal chemistry,1998,41,3,291-302,"L Zhi, C M Tegley, E A Kallel, K B Marschke, D E Mais, M M Gottardis, T K Jones","5-Aryl-1,2-dihydrochromeno[3,4-f]quinolines: a novel class of nonsteroidal human progesterone receptor agonists."
33,,9484511,Journal of medicinal chemistry,1998,41,4,623-39,"L G Hamann, R I Higuchi, L Zhi, J P Edwards, X N Wang, K B Marschke, J W Kong, L J Farmer, T K Jones","Synthesis and biological activity of a novel series of nonsteroidal, peripherally selective androgen receptor antagonists derived from 1,2-dihydropyridono[5,6-g]quinolines."
34,,9514878,Biochemical and biophysical research communications,1998,244,1,44200,"J T Dalton, A Mukherjee, Z Zhu, L Kirkovsky, D D Miller",Discovery of nonsteroidal androgens.
35,,9719599,Journal of medicinal chemistry,1998,41,18,3461-6,"C L Pooley, J P Edwards, M E Goldman, M W Wang, K B Marschke, D L Crombie, T K Jones","Discovery and preliminary SAR studies of a novel, nonsteroidal progesterone receptor antagonist pharmacophore."
36,,9784110,Journal of medicinal chemistry,1998,41,22,4354-9,"C M Tegley, L Zhi, K B Marschke, M M Gottardis, Q Yang, T K Jones","5-Benzylidene 1,2-dihydrochromeno[3,4-f]quinolines, a novel class of nonsteroidal human progesterone receptor agonists."
37,,9871534,Bioorganic & medicinal chemistry letters,1998,8,7,745-50,"J P Edwards, S J West, C L Pooley, K B Marschke, L J Farmer, T K Jones","New nonsteroidal androgen receptor modulators based on 4-(trifluoromethyl)-2(1H)-pyrrolidino[3,2-g] quinolinone."
38,,9873735,Bioorganic & medicinal chemistry letters,1998,8,23,3365-70,"L Zhi, C M Tegley, J P Edwards, S J West, K B Marschke, M M Gottardis, D E Mais, T K Jones","5-Alkyl 1,2-dihydrochromeno[3,4-f]quinolines: a novel class of nonsteroidal progesterone receptor modulators."
39,,9925725,Journal of medicinal chemistry,1999,42,2,210-2,"L G Hamann, N S Mani, R L Davis, X N Wang, K B Marschke, T K Jones","Discovery of a potent, orally active, nonsteroidal androgen receptor agonist: 4-ethyl-1,2,3,4-tetrahydro-6- (trifluoromethyl)-8-pyridono[5,6-g]- quinoline (LG121071)."
40,,10076535,Biochemical pharmacology,1998,55,9,1427-33,"L G Wang, X M Liu, W Kreis, D R Budman",Androgen antagonistic effect of estramustine phosphate (EMP) metabolites on wild-type and mutated androgen receptor.
41,,10212133,Journal of medicinal chemistry,1999,42,8,1466-72,"L Zhi, C M Tegley, K B Marschke, D E Mais, T K Jones","5-Aryl-1,2,3,4-tetrahydrochromeno[3,4-f]quinolin-3-ones as a novel class of nonsteroidal progesterone receptor agonists: effect of A-ring modification."
42,,10230628,Bioorganic & medicinal chemistry letters,1999,9,7,1003-8,"J P Edwards, R I Higuchi, D T Winn, C L Pooley, T R Caferro, L G Hamann, L Zhi, K B Marschke, M E Goldman, T K Jones","Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one."
43,,10230629,Bioorganic & medicinal chemistry letters,1999,9,7,1009-12,"L Zhi, C M Tegley, K B Marschke, T K Jones","Switching androgen receptor antagonists to agonists by modifying C-ring substituents on piperidino[3,2-g]quinolinone."
44,,10340624,Bioorganic & medicinal chemistry letters,1999,9,9,1335-40,"R I Higuchi, J P Edwards, T R Caferro, J D Ringgenberg, J W Kong, L G Hamann, K L Arienti, K B Marschke, R L Davis, L J Farmer, T K Jones","4-Alkyl- and 3,4-dialkyl-1,2,3,4-tetrahydro-8-pyridono[5,6-g]quinolines: potent, nonsteroidal androgen receptor agonists."
45,,10354410,Journal of medicinal chemistry,1999,42,11,2021-34,"D C Labaree, R M Hoyte, L V Nazareth, N L Weigel, R B Hochberg",7alpha-Iodo and 7alpha-fluoro steroids as androgen receptor-mediated imaging agents.
46,,10691684,Journal of medicinal chemistry,2000,43,4,581-90,"L Kirkovsky, A Mukherjee, D Yin, J T Dalton, D D Miller",Chiral nonsteroidal affinity ligands for the androgen receptor. 1. Bicalutamide analogues bearing electrophilic groups in the B aromatic ring.
47,,10743937,Bioorganic & medicinal chemistry letters,2000,10,5,411-4,"J W Kong, L G Hamann, D A Ruppar, J P Edwards, K B Marschke, T K Jones","Effects of isosteric pyridone replacements in androgen receptor antagonists based on 1,2-dihydro- and 1,2,3,4-tetrahydro-2,2-dimethyl-6-trifluoromethyl-8-pyridono[5,6-g]quin olines."
48,,10743938,Bioorganic & medicinal chemistry letters,2000,10,5,415-8,"L Zhi, C M Tegley, B Pio, S J West, K B Marschke, D E Mais, T K Jones",Nonsteroidal progesterone receptor antagonists based on 6-thiophenehydroquinolines.
49,,10852459,The Journal of clinical endocrinology and metabolism,2000,85,6,2253-9,"A Giwercman, T Kledal, M Schwartz, Y L Giwercman, H Leffers, H Zazzi, A Wedell, N E Skakkebaek",Preserved male fertility despite decreased androgen sensitivity caused by a mutation in the ligand-binding domain of the androgen receptor gene.
50,,10966753,Journal of medicinal chemistry,2000,43,17,3344-7,"M E Van Dort, D M Robins, B Wayburn","Design, synthesis, and pharmacological characterization of 4-[4, 4-dimethyl-3-(4-hydroxybutyl)-5-oxo-2-thioxo-1-imidazolidinyl]- 2-iodobenzonitrile as a high-affinity nonsteroidal androgen receptor ligand."
51,,11101354,Journal of medicinal chemistry,2000,43,24,4629-35,"P M Burden, T H Ai, H Q Lin, M Akinci, M Costandi, T M Hambley, G A Johnston","Chiral derivatives of 2-cyclohexylideneperhydro-4,7-methanoindenes, a novel class of nonsteroidal androgen receptor ligand: synthesis, X-ray analysis, and biological activity."
52,,11150172,Journal of medicinal chemistry,2000,43,26,5010-6,"U Fuhrmann, H Hess-Stumpp, A Cleve, G Neef, W Schwede, J Hoffmann, K H Fritzemeier, K Chwalisz","Synthesis and biological activity of a novel, highly potent progesterone receptor antagonist."
53,,11327585,Bioorganic & medicinal chemistry letters,2001,11,8,1045-7,"M E Van Dort, Y W Jung",Synthesis and structure-activity studies of side-chain derivatized arylhydantoins for investigation as androgen receptor radioligands.
54,,11356108,Journal of medicinal chemistry,2001,44,11,1729-40,"C A Marhefka, B M Moore, T C Bishop, L Kirkovsky, A Mukherjee, J T Dalton, D D Miller",Homology modeling using multiple molecular dynamics simulations and docking studies of the human androgen receptor ligand binding domain bound to testosterone and nonsteroidal ligands.
55,,11520196,Journal of medicinal chemistry,2001,44,18,2879-85,"M J Coghlan, P R Kym, S W Elmore, A X Wang, J R Luly, D Wilcox, M Stashko, C W Lin, J Miner, C Tyree, M Nakane, P Jacobson, B C Lane",Synthesis and characterization of non-steroidal ligands for the glucocorticoid receptor: selective quinoline derivatives with prednisolone-equivalent functional activity.
56,,11886817,Bioorganic & medicinal chemistry,2002,10,5,1555-66,"Toshiyasu Ishioka, Asako Kubo, Yukiko Koiso, Kazuo Nagasawa, Akiko Itai, Yuichi Hashimoto",Novel non-steroidal/non-anilide type androgen antagonists with an isoxazolone moiety.
57,,12036351,Journal of medicinal chemistry,2002,45,12,2417-24,"Bradley P Morgan, Andrew G Swick, Diane M Hargrove, Janet A LaFlamme, Melinda S Moynihan, Richard S Carroll, Kelly A Martin, Eunsun Lee, Debra Decosta, Jon Bordner","Discovery of potent, nonsteroidal, and highly selective glucocorticoid receptor antagonists."
58,,12161000,Molecular and cellular endocrinology,2002,193,43832,43-9,"Françoise Paris, Patrick Balaguer, Béatrice Térouanne, Nadège Servant, Caroline Lacoste, Jean-Pierre Cravedi, Jean-Claude Nicolas, Charles Sultan","Phenylphenols, biphenols, bisphenol-A and 4-tert-octylphenol exhibit alpha and beta estrogen activities and antiandrogen activity in reporter cell lines."
59,,12161060,European journal of medicinal chemistry,2002,37,8,619-34,"Yali He, Donghua Yin, Minoli Perera, Leonid Kirkovsky, Nina Stourman, Wei Li, James T Dalton, Duane D Miller",Novel nonsteroidal ligands with high binding affinity and potent functional activity for the androgen receptor.
60,,12238914,Journal of medicinal chemistry,2002,45,20,4379-82,"Puwen Zhang, Eugene A Terefenko, Andrew Fensome, Jay Wrobel, Richard Winneker, Scott Lundeen, Keith B Marschke, Zhiming Zhang","6-Aryl-1,4-dihydro-benzo[d][1,3]oxazin- 2-ones: a novel class of potent, selective, and orally active nonsteroidal progesterone receptor antagonists."
61,,12408714,Journal of medicinal chemistry,2002,45,23,5037-42,"Hironori Ohtsu, Zhiyan Xiao, Junko Ishida, Masahiro Nagai, Hui-Kang Wang, Hideji Itokawa, Ching-Yuan Su, Charles Shih, Tzuying Chiang, Eugene Chang, YiFen Lee, Meng-Yin Tsai, Chawnshang Chang, Kuo-Hsiung Lee",Antitumor agents. 217. Curcumin analogues as novel androgen receptor antagonists with potential as anti-prostate cancer agents.
62,,12620078,Journal of medicinal chemistry,2003,46,6,1016-30,"Philip R Kym, Michael E Kort, Michael J Coghlan, Jimmie L Moore, Rui Tang, James D Ratajczyk, Daniel P Larson, Steven W Elmore, John K Pratt, Michael A Stashko, H Douglass Falls, Chun W Lin, Masake Nakane, Loan Miller, Curtis M Tyree, Jeffery N Miner, Peer B Jacobson, Denise M Wilcox, Phong Nguyen, Benjamin C Lane","Nonsteroidal selective glucocorticoid modulators: the effect of C-10 substitution on receptor selectivity and functional potency of 5-allyl-2,5-dihydro-2,2,4-trimethyl-1H-[1]benzopyrano[3,4-f]quinolines."
63,,12657271,Bioorganic & medicinal chemistry letters,2003,13,7,1313-6,"Puwen Zhang, Eugene A Terefenko, Andrew Fensome, Jay Wrobel, Richard Winneker, Zhiming Zhang","Novel 6-aryl-1,4-dihydrobenzo[d]oxazine-2-thiones as potent, selective, and orally active nonsteroidal progesterone receptor agonists."
64,,12657272,Bioorganic & medicinal chemistry letters,2003,13,7,1317-20,"Andrew Fensome, Marci Koko, Jay Wrobel, Puwen Zhang, Zhiming Zhang, Jeffrey Cohen, Scott Lundeen, Kelly Rudnick, Yuan Zhu, Richard Winneker","Novel 5-aryl-1,3-dihydro-indole-2-thiones. potent, orally active progesterone receptor agonists."
65,,12676605,Environmental health perspectives,2003,111,4,497-502,"Hiroyuki Kojima, Mitsuru Iida, Eiji Katsura, Akio Kanetoshi, Yoshihiro Hori, Kunihiko Kobayashi","Effects of a diphenyl ether-type herbicide, chlornitrofen, and its amino derivative on androgen and estrogen receptor activities."
66,,12781197,Bioorganic & medicinal chemistry letters,2003,13,12,2071-4,"Lin Zhi, Christopher M Tegley, Barbara Pio, James P Edwards, Todd K Jones, Keith B Marschke, Dale E Mais, Boris Risek, William T Schrader","Synthesis and biological activity of 5-methylidene 1,2-dihydrochromeno[3,4-f]quinoline derivatives as progesterone receptor modulators."
67,,12781198,Bioorganic & medicinal chemistry letters,2003,13,12,2075-8,"Lin Zhi, Josef D Ringgenberg, James P Edwards, Christopher M Tegley, Sarah J West, Barbara Pio, Mehrnouch Motamedi, Todd K Jones, Keith B Marschke, Dale E Mais, William T Schrader","Development of progesterone receptor antagonists from 1,2-dihydrochromeno[3,4-f]quinoline agonist pharmacophore."
68,,12873487,Bioorganic & medicinal chemistry letters,2003,13,16,2655-8,"Toshiyasu Ishioka, Aya Tanatani, Kazuo Nagasawa, Yuichi Hashimoto",Anti-androgens with full antagonistic activity toward human prostate tumor LNCaP cells with mutated androgen receptor.
69,,12954062,Journal of medicinal chemistry,2003,46,19,4104-12,"Lin Zhi, Christopher M Tegley, Barbara Pio, James P Edwards, Mehrnouch Motamedi, Todd K Jones, Keith B Marschke, Dale E Mais, Boris Risek, William T Schrader","5-benzylidene-1,2-dihydrochromeno[3,4-f]quinolines as selective progesterone receptor modulators."
70,,12954063,Journal of medicinal chemistry,2003,46,19,4113-23,"Marie Togashi, Satoshi Ozawa, Shoko Abe, Tomoyuki Nishimura, Mie Tsuruga, Kunio Ando, Gakuzo Tamura, Shigefumi Kuwahara, Makoto Ubukata, Junji Magae",Ascochlorin derivatives as ligands for nuclear hormone receptors.
71,,14565775,Chemical Research Toxicology,2003,16,10,1338-58,"Fang, H. ; Tong, W.; Branham, W.S. ; Hong, H.; Xie, Q.; Moland, C.L. ; Dial, S.L. ; Perkins, R. ; Owens, W.; Sheehan, D.M.","Structure-Activity Relationships of 202 Natural, Synthetic and Enviromental Chemicals Binding to Androgen Receptors"
72,,14613328,Journal of medicinal chemistry,2003,46,24,5258-70,"Peter S Cogan, Tad H Koch",Rational design and synthesis of androgen receptor-targeted nonsteroidal anti-androgen ligands for the tumor-specific delivery of a doxorubicin-formaldehyde conjugate.
73,,14751673,Toxicology,2004,195,43864,177-86,"Kanji Yamasaki, Masakuni Sawaki, Shoji Noda, Takako Muroi, Saori Takakura, Hideo Mitoma, Satoko Sakamoto, Makoto Nakai, Yoshikuni Yakabe",Comparison of the Hershberger assay and androgen receptor binding assay of twelve chemicals.
74,,14761201,Journal of medicinal chemistry,2004,47,4,993-8,"Craig A Marhefka, Wenqing Gao, Kiwon Chung, Juhyun Kim, Yali He, Donghua Yin, Casey Bohl, James T Dalton, Duane D Miller","Design, synthesis, and biological characterization of metabolically stable selective androgen receptor modulators."
75,,15064155,Environmental health perspectives,2004,112,5,524-31,"Hiroyuki Kojima, Eiji Katsura, Shinji Takeuchi, Kazuhito Niiyama, Kunihiko Kobayashi",Screening for estrogen and androgen receptor activities in 200 pesticides by in vitro reporter gene assays using Chinese hamster ovary cells.
76,,15080982,Bioorganic & medicinal chemistry letters,2004,14,9,2079-82,"Irini Akritopoulou-Zanze, Jyoti R Patel, Kresna Hartandi, Jehrod Brenneman, Martin Winn, John K Pratt, Marlene Grynfarb, Annika Goos-Nisson, Thomas W Von Geldern, Philip R Kym","Synthesis and biological evaluation of novel, selective, nonsteroidal glucocorticoid receptor antagonists."
77,,15081005,Bioorganic & medicinal chemistry letters,2004,14,9,2185-9,"Mark A Collins, Valerie Hudak, Reinhold Bender, Andrew Fensome, Puwen Zhang, Lori Miller, Richard C Winneker, Zhiming Zhang, Yuan Zhu, Jeffrey Cohen, Rayomond J Unwalla, Jay Wrobel",Novel pyrrole-containing progesterone receptor modulators.
78,,15081010,Bioorganic & medicinal chemistry letters,2004,14,9,2209-12,"J T Link, Bryan K Sorensen, Jyoti Patel, Maurice Emery, Marlena Grynfarb, Annika Goos-Nilsson",Discovery of novel nonsteroidal glucocorticoid receptor modulators.
79,,15110108,Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,2004,42,6,983-93,"K Satoh, K Ohyama, N Aoki, M Iida, F Nagai","Study on anti-androgenic effects of bisphenol a diglycidyl ether (BADGE), bisphenol F diglycidyl ether (BFDGE) and their derivatives using cells stably transfected with human androgen receptor, AR-EcoScreen."
80,,15115388,Journal of medicinal chemistry,2004,47,10,2441-52,"Amjad Ali, Christopher F Thompson, James M Balkovec, Donald W Graham, Milton L Hammond, Nazia Quraishi, James R Tata, Monica Einstein, Lan Ge, Georgianna Harris, Terri M Kelly, Paul Mazur, Shilpa Pandit, Joseph Santoro, Ayesha Sitlani, Chuanlin Wang, Joanne Williamson, Douglas K Miller, Chris M Thompson, Dennis M Zaller, Michael J Forrest, Ester Carballo-Jane, Silvi Luell","Novel N-arylpyrazolo[3,2-c]-based ligands for the glucocorticoid receptor: receptor binding and in vivo activity."
81,,15239655,Journal of medicinal chemistry,2004,47,15,3765-76,"Casey E Bohl, Cheng Chang, Michael L Mohler, Jiyun Chen, Duane D Miller, Peter W Swaan, James T Dalton",A ligand-based approach to identify quantitative structure-activity relationships for the androgen receptor.
82,,15253041,Archives of environmental contamination and toxicology,2004,46,4,445-53,"T Okubo, Y Yokoyama, K Kano, Y Soya, I Kano",Estimation of estrogenic and antiestrogenic activities of selected pesticides by MCF-7 cell proliferation assay.
83,,15293993,Journal of medicinal chemistry,2004,47,17,4213-30,"Thomas W von Geldern, Noah Tu, Philip R Kym, James T Link, Hwan-Soo Jae, Chunqiu Lai, Theresa Apelqvist, Patrik Rhonnstad, Lars Hagberg, Konrad Koehler, Marlena Grynfarb, Annika Goos-Nilsson, Johnny Sandberg, Marie Osterlund, Tomas Barkhem, Marie Höglund, Jiahong Wang, Steven Fung, Denise Wilcox, Phong Nguyen, Clarissa Jakob, Charles Hutchins, Mathias Färnegårdh, Björn Kauppi, Lars Ohman, Peer B Jacobson",Liver-selective glucocorticoid antagonists: a novel treatment for type 2 diabetes.
84,,15454212,Bioorganic & medicinal chemistry letters,2004,14,21,5285-8,"Marcian E Van Dort, Yong-Woon Jung",Synthesis and structure-activity investigation of iodinated arylhydantoins and arylthiohydantoins for development as androgen receptor radioligands.
85,,15456242,Journal of medicinal chemistry,2004,47,21,4985-8,"Smita S Muddana, Aimee M Price, Megan M MacBride, Blake R Peterson",11beta-alkyl-Delta9-19-nortestosterone derivatives: high-affinity ligands and potent partial agonists of the androgen receptor.
86,,15483189,Toxicological sciences : an official journal of the Society of Toxicology,2005,83,1,136-48,"Edwin Sonneveld, Hendrina J Jansen, Jacoba A C Riteco, Abraham Brouwer, Bart van der Burg","Development of androgen- and estrogen-responsive bioassays, members of a panel of human cell line-based highly selective steroid-responsive bioassays."
87,,15509168,Journal of medicinal chemistry,2004,47,23,5690-9,"Peter S Cogan, Tad H Koch",Studies of targeting and intracellular trafficking of an anti-androgen doxorubicin-formaldehyde conjugate in PC-3 prostate cancer cells bearing androgen receptor-GFP chimera.
88,,15537743,Toxicological sciences : an official journal of the Society of Toxicology,2005,83,2,264-72,"Richard H M M Schreurs, Edwin Sonneveld, Jenny H J Jansen, Willem Seinen, Bart van der Burg","Interaction of polycyclic musks and UV filters with the estrogen receptor (ER), androgen receptor (AR), and progesterone receptor (PR) in reporter gene bioassays."
89,,15546739,Bioorganic & medicinal chemistry letters,2004,14,24,6107-11,"Aaron Balog, Mark E Salvati, Weifang Shan, Arvind Mathur, Leslie W Leith, Donna D Wei, Ricardo M Attar, Jieping Geng, Cheryl A Rizzo, Chihuei Wang, Stanley R Krystek, John S Tokarski, John T Hunt, Marco Gottardis, Roberto Weinmann",The synthesis and evaluation of [2.2.1]-bicycloazahydantoins as androgen receptor antagonists.
90,,15603938,Bioorganic & medicinal chemistry letters,2005,15,2,271-6,"Mark E Salvati, Aaron Balog, Weifang Shan, Donna D Wei, Dacia Pickering, Ricardo M Attar, Jieping Geng, Cheryl A Rizzo, Marco M Gottardis, Roberto Weinmann, Stanley R Krystek, John Sack, Yongmi An, Kevin Kish","Structure based approach to the design of bicyclic-1H-isoindole-1,3(2H)-dione based androgen receptor antagonists."
91,,15603960,Bioorganic & medicinal chemistry letters,2005,15,2,389-93,"Mark E Salvati, Aaron Balog, Donna D Wei, Dacia Pickering, Ricardo M Attar, Jieping Geng, Cheryl A Rizzo, John T Hunt, Marco M Gottardis, Roberto Weinmann, Rogelio Martinez","Identification of a novel class of androgen receptor antagonists based on the bicyclic-1H-isoindole-1,3(2H)-dione nucleus."
92,,15686944,Bioorganic & medicinal chemistry letters,2005,15,4,1213-6,"C Edgar Cook, John A Kepler","7alpha,11beta-Dimethyl-19-nortestosterone: a potent and selective androgen response modulator with prostate-sparing properties."
93,,15715462,Journal of medicinal chemistry,2005,48,4,917-25,"Annu A Söderholm, Pekka T Lehtovuori, Tommi H Nyrönen",Three-dimensional structure-activity relationships of nonsteroidal ligands in complex with androgen receptor ligand-binding domain.
94,,15771445,Journal of medicinal chemistry,2005,48,6,2026-35,"Paola Gilli, Gastone Gilli, Pier Andrea Borea, Katia Varani, Angelo Scatturin, Alessandro Dalpiaz",Binding thermodynamics as a tool to investigate the mechanisms of drug-receptor interactions: thermodynamics of cytoplasmic steroid/nuclear receptors in comparison with membrane receptors.
95,,15828836,Journal of medicinal chemistry,2005,48,8,2972-84,"Venkatesh D Handratta, Tadas S Vasaitis, Vincent C O Njar, Lalji K Gediya, Ritesh Kataria, Pankaj Chopra, Donnell Newman, Rena Farquhar, Zhiyong Guo, Yun Qiu, Angela M H Brodie","Novel C-17-heteroaryl steroidal CYP17 inhibitors/antiandrogens: synthesis, in vitro biological activity, pharmacokinetics, and antitumor activity in the LAPC4 human prostate cancer xenograft model."
