Assay ID,,Description,Assay_Name,Assay_Group,Assay_Format,Assay_Type,Species,AID,ChEMBL Assay ID
19,,Activity at human AR expressed in human HeLa cells after 48 hrs by stable-luciferase reporter gene assay,stable-luciferase reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL1121345
20,,Activity at human AR expressed in human HeLa cells after 48 hrs by transient-luciferase reporter gene assay,Competitive Binding Assay,Reporter gene,Other,Binding,Homo sapiens,,CHEMBL1121344
21,,Activity in human PC3 cells expressing wild-type androgen receptor assessed as ARE-dependent transactivation at 0.1 uM after 24 hrs by luciferase reporter gene assay in absence of DHT,luciferase reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL1052604
22,,Activity in human PC3 cells expressing wild-type androgen receptor assessed as ARE-dependent transactivation at 1 uM after 24 hrs by luciferase reporter gene assay in absence of DHT,luciferase reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL1052608
23,,Agonist activity at human androgen receptor expressed in CV1 cells,Cotransfection assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL887359
24,,Agonism of human androgen receptor (hAR) in CV-1 cells compared to that of dihydrotestosterone (100%),Cotransfection assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL875047
25,,Agonistic activity against human androgen receptor (hAR) compared to dihydrotestosterone (100%),Cotransfection assay,Reporter gene,assay format,Agonist,Homo sapiens,,CHEMBL651960
26,,Agonistic activity (EC50) against human androgen receptor (hAR) in co-transfected CV-1 cell,cotransfection assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL648595
27,,Agonist activity at androgen receptor,Luciferase Assay,Reporter gene,assay format,Agonist,Homo sapiens,,CHEMBL998017
28,,Agonist activity at human AR,Binding Assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL891111
29,,Agonist activity at androgen receptor (unknown origin),Biological assay,Binding,single protein format,Agonist,Homo sapiens,,CHEMBL3592214
30,,Agonist activity at androgen receptor by cellular reporter gene assay,cellular reporter gene assay,Reporter gene,assay format,Agonist,Homo sapiens,,CHEMBL2216242
31,,Agonist activity at AR by reporter gene assay,reporter gene assay,Reporter gene,assay format,Agonist,Homo sapiens,,CHEMBL1068437
32,,Antagonist activity at human androgen receptor expressed in human CV1 cells assessed as inhibition of receptor-mediated transactivation by MMTV-luciferase reporter gene assay,MMTV-luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1250613
33,,Agonist activity at androgen receptor (unknown origin) by NH Pro assay,Cell proliferation,Cell proliferation,single protein format,Agonist,Homo sapiens,,CHEMBL2411350
34,,Agonist activity at AR (unknown origin) by TR-FRET assay,TR-FRET assay,Binding,single protein format,Agonist,Homo sapiens,,CHEMBL4137982
35,,Agonist activity at human androgen receptor african green monkey CV1 cells by cotransfection assay,cotransfection assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL930489
36,,Agonist activity at androgen receptor expressed in CV-1 cells by MMTV luciferase reporter assay,MMTV luciferase reporter assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL1045528
37,,Agonist activity at human androgen receptor by cell-based assay,cell-based assay,Binding,cell-based format,Agonist,Homo sapiens,,CHEMBL3579300
38,,Agonist activity at human androgen receptor by luciferase reporter gene assay,Competitive Binding Assay,Reporter gene,Other,Agonist,Homo sapiens,,CHEMBL896865
39,,Agonist activity at androgen receptor expressed in A549 cells by HRE-tk luciferase assay,HRE-tk luciferase assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL898054
40,,Agonist activity at androgen receptor (unknown origin) expressed in African green monkey COS7 cells after 24 hrs by MMTV-promoter driven luciferase reporter gene assay,MMTV-promoter driven luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL4012501
41,,Agonist activity at androgen receptor (unknown origin) expressed in HEK293 cells assessed as transcriptional activation,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL3749556
42,,Agonist activity at androgen receptor (unknown origin) expressed in HeLa cells co-expressing PSA-(ARE)4-Luc13 after 20 mins by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL2329800
43,,Agonist activity at androgen receptor (unknown origin) expressed in HeLa cells co-expressing PSA-(ARE)4-Luc13 assessed as induction of DHT-induced luciferase activity after 20 mins by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL2329799
44,,Agonist activity at androgen receptor (unknown origin) expressed in human HepG2 cells assessed as relative luciferase activity at 1 uM by MMTV promoter-driven luciferase reporter gene assay relative to untreated vehicle control,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL3372578
45,,Agonist activity at androgen receptor (unknown origin) expressed in human HepG2 cells assessed as relative luciferase activity at 10 uM by MMTV promoter-driven luciferase reporter gene assay relative to untreated vehicle control,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL3372577
46,,Agonist activity at androgen receptor (unknown origin) expressed in human HepG2 cells assessed as relative luciferase activity at 100 nM by MMTV promoter-driven luciferase reporter gene assay relative to untreated vehicle control,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL3372579
47,,Agonist activity at AR (unknown origin) expressed in human LNCaP cells incubated for 20 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL4151793
48,,Agonist activity at androgen receptor assessed as receptor transactivation at 1 nM by reporter gene assay relative to 5-alpha-dihydrotestosterone,reporter gene assay,Reporter gene,assay format,Agonist,Homo sapiens,,CHEMBL998029
49,,Agonist activity at androgen receptor assessed as receptor transactivation by reporter gene assay,reporter gene assay,Reporter gene,assay format,Agonist,Homo sapiens,,CHEMBL998018
50,,Agonist activity at androgen receptor assessed as receptor transactivation by reporter gene assay at 100 nM,reporter gene assay,Reporter gene,assay format,Agonist,Homo sapiens,,CHEMBL997190
51,,Agonist activity at androgen receptor assessed as receptor transactivation by reporter gene assay at 500 nM,reporter gene assay,Reporter gene,assay format,Agonist,Homo sapiens,,CHEMBL997191
52,,Agonist activity at androgen receptor at 10 uM by androgen response element-mediated luciferase reporter gene assay relative to control,ARE-mediated luciferase reporter gene assay,Reporter gene,assay format,Agonist,Homo sapiens,,CHEMBL980561
53,,Agonist activity at AR expressed in african green monkey CV-1 cells by luciferase reporter assay,luciferase reporter assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL1054366
54,,Agonist activity at androgen receptor expressed in C2C12 mouse cells by luciferase reporter transactivation assay,Competitive Binding Assay,Reporter gene,Other,Agonist,Homo sapiens,,CHEMBL888424
55,,Agonist activity at androgen receptor expressed in Cos7 cells after 24 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL1960486
56,,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,Competitive Binding Assay,Reporter gene,Other,Agonist,Homo sapiens,,CHEMBL914605
57,,Agonist activity at androgen receptor expressed in human LNAR cells as induction of luciferase activity by spectrophotometry relative to untreated control,cell-based HTS assay,HTS,cell-based format,Agonist,Homo sapiens,,CHEMBL1947980
58,,Agonist activity at androgen receptor expressed in human PC3 cells assessed as stimulation of receptor transactivation at 0.1 to 1 uM by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL2166913
59,,Agonist activity at androgen receptor expressed in mouse C2C12 cells assessed as osteoblast differentiation after 5 days,cell proliferation,Cell proliferation,cell-based format,Agonist,Homo sapiens,,CHEMBL1679740
60,,Agonist activity at androgen receptor in androgen-dependent mouse SC3 cells assessed as stimulation of cell growth after 3 days,cell proliferation,Cell proliferation,cell-based format,Agonist,Mus musculus,,CHEMBL2343827
61,,Agonist activity at AR in human bicalutamide-resistant LNCAP cells assessed as effect on cell proliferation after 6 days,Cell proliferation,Cell proliferation,cell-based format,Agonist,Homo sapiens,,CHEMBL1291501
62,,Agonist activity at AR in human LNAR cells assessed as increase in PSA gene expression at 0.1 nM incubated for 24 hrs by RT-qPCR method,RT-qPCR method,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL4151798
63,,Agonist activity at AR in human LNAR cells assessed as increase in PSA gene expression at 100 nM incubated for 24 hrs by RT-qPCR method,RT-qPCR method,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL4151796
64,,Agonist activity at AR in human LNAR cells assessed as increase in TMPRSS2 gene expression at 0.1 nM incubated for 24 hrs by RT-qPCR method,RT-qPCR method,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL4151799
65,,Agonist activity at AR in human LNAR cells assessed as increase in TMPRSS2 gene expression at 100 nM incubated for 24 hrs by RT-qPCR method,RT-qPCR method,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL4151797
66,,Agonist activity at androgen receptor in human LNAR cells expressing ARE-PSA-LUC at 1 uM by luminescence analysis relative to RD-162,luminescence analysis,Binding,cell-based format,Agonist,Homo sapiens,,CHEMBL2014259
67,,Agonist activity at AR in human LNCAP cells assessed as effect on cell proliferation after 6 days,Cell proliferation,Cell proliferation,cell-based format,Agonist,Homo sapiens,,CHEMBL1121346
68,,Agonist activity at androgen receptor in human LNCAP cells assessed as increase in prostate specific antigen mRNA level at 0.05 to 5 uM after 20 hrs by real time RT-PCR analysis,RT-PCR,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL2013563
69,,Agonist activity at androgen receptor in human LNCAP cells assessed as increase in transmembrane protease serine 2 mRNA level at 0.05 to 5 uM after 20 hrs by real time RT-PCR analysis,RT-PCR,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL2013564
70,,Agonist activity at androgen receptor in human LNCAP cells assessed as potentiation of R1881-induced prostate specific antigen mRNA expression at 1 uM after 20 hrs by real time RT-PCR analysis,RT-PCR,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL2013570
71,,Agonist activity at androgen receptor in human LNCAP cells assessed as potentiation of R1881-induced transmembrane protease serine 2 mRNA expression at 1 uM after 20 hrs by real time RT-PCR analysis,RT-PCR,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL2013571
72,,Agonist activity at androgen receptor in human LNCAP cells assessed effect on CPA-induced PSA expression after 2 hrs by ELISA,Cell Proliferation Assays,Cell proliferation,cell-based format,Agonist,Homo sapiens,,CHEMBL2089766
73,,Agonist activity at Androgen receptor in human LNCaP-hr cells assessed as prostate specific antigen measured at 1 uM after 3 days by enzyme-immunoassay,enzyme-immunoassay,Binding,cell-based format,Agonist,Homo sapiens,,CHEMBL2339053
74,,Agonist activity at Androgen receptor in human LNCaP-hr cells assessed as prostate specific antigen measured at 10 uM after 3 days by enzyme-immunoassay,enzyme-immunoassay,Binding,cell-based format,Agonist,Homo sapiens,,CHEMBL2339063
75,,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity at 100 uM by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL1052499
76,,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL1052486
77,,Agonist activity at AR in human MDA-kb2 cells co-transfected with MMTV-luc assessed as increase in DHT-induced luciferase activity at 1 mM by reporter gene assay,reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL1113404
78,,Agonist activity at AR in human MDA-kb2 cells co-transfected with MMTV-luc assessed as luciferase activity by reporter gene assay,reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL1112517
79,,Agonist activity at androgen receptor in human MDA-KB2 cells transfected with MMTV linked luciferase assessed as transcriptional activation by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL1041863
80,,Agonist activity at AR in human MDA-MB-453 cells assessed as increase in CLDN8 gene expression at 111 to 333 nM incubated for 24 hrs by RT-qPCR method,RT-qPCR method,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL4151804
81,,Agonist activity at AR in human MDA-MB-453 cells assessed as increase in CYPGF8 gene expression at 111 to 333 nM incubated for 24 hrs by RT-qPCR method,RT-qPCR method,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL4151805
82,,Agonist activity at AR in human MDA-MB-453 cells assessed as increase in SEC14L2 gene expression at 111 to 333 nM incubated for 24 hrs by RT-qPCR method,RT-qPCR method,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL4151806
83,,Agonist activity at androgen receptor in human MDA-MB-453 cells transfected with MMTV-LUC assessed as induction of MMTV-LTR/promoter linked LUC gene by luciferase transactivation assay,luciferase transactivation assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL1064180
84,,Agonist activity at androgen receptor in mouse C2C12 cells by receptor transactivation assay,receptor transactivation assay,Reporter gene,cell-based format,Agonist,Mus musculus,,CHEMBL896729
85,,Agonist activity at androgen receptor in mouse NIH3T3 cells transiently transfected with beta-galactosidase reporter gene assessed as cellular transformation by R-SAT assay,R-SAT assay,Reporter gene,cell-based format,Agonist,Mus musculus,,CHEMBL1041855
86,,Agonist activity at AR in mouse SC3 cells assessed as effect on cell proliferation after 3 days by CCK8 assay,CCK8 assay,Cell proliferation,cell-based format,Agonist,Mus musculus,,CHEMBL4158082
87,,Agonist activity at androgen receptor ligand binding domain expressed in african green monkey COS7 cells co-transfected with Gal4-DBD by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL1111209
88,,Agonist activity at AR receptor in human LNCAP cells at 10 nM to 10 uM by ARE-luciferase reporter gene assay,ARE-luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL2208459
89,,Agonist activity at androgen receptor-LBD expressed in HEK293 cells assessed as Gal4-DBD interaction by cellular mammalian one hybrid assay relative to androgen,cellular mammalian one hybrid assay,Binding,cell-based format,Agonist,Homo sapiens,,CHEMBL1211347
90,,Agonist activity at androgen receptor-mediated luciferase reporter gene assay in mouse RAW 264.7 cells assessed as ratio of firefly luciferase activity to renilla luciferase activity at 10 uM,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL923448
91,,Agonist activity at GAL4 DBD-fused androgen receptor LBD (unknown origin) transfected in UAS-bla GripTite 293 cells at 10 uM after 16 to 24 hrs by by beta-lactamase reporter gene assay,beta-lactamase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL3829949
92,,Agonist activity at GAL4 DNA-binding domain fused androgen receptor (unknown origin) ligand binding domain expressed in UAS-bla GripTite 293 cells assessed as beta-lactamase transcriptional activation by FRET-based GeneBLAzer assay,FRET-based GeneBLAzer assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL4263478
93,,Agonist activity at Gal4 DNA binding domain-tagged human androgen receptor expressed in HEK293 cells assessed as activation of receptor-mediated transcriptional activity by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL3599446
94,,Agonist activity at human androgen receptor expressed in African green monkey CV-1 cells after 17 hrs by ARE luciferase reporter gene assay,ARE luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL4040335
95,,Agonist activity at human androgen receptor expressed in african green monkey CV1 cells co-transfected with MMTV-Luc after 24 hrs by luciferase reporter gene assay, luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL1166114
96,,Agonist activity at human androgen receptor expressed in COS7 cells assessed as luciferase activity after 24 hrs by reporter gene assay,reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL1937917
97,,Agonist activity at human androgen receptor expressed in CV1 cells by transcriptional activation assay,transcriptional activation assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL916636
98,,Agonist activity at human androgen receptor expressed in CV1 cells by transcriptional activation assay at 5 nM relative to DHT,transcriptional activation assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL940821
99,,Agonist activity at human androgen receptor expressed in CV1 cells relative to DHT,Luciferase Assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL887360
100,,Agonist activity at human androgen receptor expressed in HEK293 cells assessed as increase in transcriptional activity in presence of 0.3 nM testosterone by luciferase and beta-galactosidase reporter gene assay,luciferase and beta-galactosidase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL2343825
101,,Agonist activity at human androgen receptor expressed in HEK293 cells by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL3385881
102,,Agonist activity at human androgen receptor expressed in HeLa cells assessed as five times increase in transcriptional activity by reporter gene assay,Competitive Binding Assay,Reporter gene,Other,Agonist,Homo sapiens,,CHEMBL899660
103,,Agonist activity at human androgen receptor expressed in human CV1 cells assessed as induction of receptor-mediated transactivation by MMTV-luciferase reporter gene assay,MMTV-luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL1250612
104,,Agonist activity at human androgen receptor expressed in human HeLa cells assessed as DHT-induced response after 40 hrs by luciferase/beta-galactosidase-based reporter gene assay,luciferase/beta-galactosidase-based reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL2021212
105,,Agonist activity at human androgen receptor expressed in mouse C2C12 cells by androgen-specific response element-driven luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL3371979
106,,Agonist activity at human androgen receptor expressed in mouse C2C12 cells cotransfected with GRE/ARE reporter plasmid assessed as receptor transactivation after 48 hrs by luciferase reporter gene assay, luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL3767969
107,,Agonist activity at human androgen receptor in CV1 cells by transcriptional activation assay,transcriptional activation assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL935527
108,,Agonist activity at human androgen receptor in CV1 cells measured as stimulation of luciferase reporter gene activity by cotransfection assay,Competitive Binding Assay,Reporter gene,Other,Agonist,Homo sapiens,,CHEMBL911186
109,,Agonist activity at human androgen receptor T877A mutant relative to control,Bioassay,Binding,assay format,Agonist,Homo sapiens,,CHEMBL871516
110,,Agonist activity at human AR expressed in African green monkey COS7 cells after 24 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL4021500
111,,Agonist activity at human AR expressed in African green monkey CV1 cells after 17 hrs by ARE-driven luciferase reporter gene assay,ARE-driven luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL3222680
112,,Agonist activity at human AR expressed in African green monkey CV1 cells assessed as androgen receptor beta-catenin interaction after 17 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL3222678
113,,Agonist activity at human AR expressed in African green monkey CV1 cells assessed as N/C interaction after 17 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL3222679
114,,Agonist activity at human AR expressed in African green monkey CV1 cells assessed as supression of beta-catenin at >= 1 nM after 17 hrs by Wnt 12xTcf-luciferase reporter gene assay relative to control,Wnt 12xTcf-luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL3222677
115,,Agonist activity at human AR expressed in African green monkey CV1 cells assessed as supression of beta-catenin at 1000 nM after 17 hrs by Wnt 12xTcf-luciferase reporter gene assay relative to control,Wnt 12xTcf-luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL3222676
116,,Agonist activity at human AR expressed in CV1 cells after 17 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL3243252
117,,Agonist activity at human AR expressed in human HeLa cells co-transfected with MMTV-Luc-Hyg after 48 hrs by transient-luciferase reporter gene assay,Competitive Binding Assay,Reporter gene,Other,Agonist,Homo sapiens,,CHEMBL1291498
118,,Agonist activity at human AR ligand binding domain expressed in african green monkey COS7 cells by Gal4 hybrid assay,Gal4 hybrid assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL934260
119,,Agonist activity at human AR overexpressed in human LNCAP cells assessed as fold increase at 1 uM by luciferase reporter gene assay relative to R1881,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL1919238
120,,Agonist activity at human gal-AR expressed in african green monkey CV1 cells co-expressing MH100 with pGRIP1 co-factor by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL944634
121,,Agonist activity at human gal-AR expressed in african green monkey CV1 cells co-expressing MH100 with pGRIP1 co-factor up to 10 uM by luciferase reporter gene assay relative to control,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL949838
122,,Agonist activity at human recombinant androgen receptor expressed in monkey CV1 cells assessed as induction of between Gal4DBD-rHARCTD fusion protein and VP16-rhARNTD at 300 nM by virilization assay,virilization assay,Cell proliferation,cell-based format,Agonist,Homo sapiens,,CHEMBL1064181
123,,Agonist activity at mouse androgen receptor assessed as inhibition of transactivation after 24 hrs by cell-based luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Mus musculus,,CHEMBL2341004
124,,Agonist activity at mouse androgen receptor at 10 uM after 24 hrs by cell-based luciferase reporter gene assay relative to control,cell-based luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Mus musculus,,CHEMBL2341007
125,,Agonist activity at pSG5-tagged human androgen receptor T877A mutant expressed in COS1 cells assessed as receptor-mediated transcriptional activity by AR-regulated rat probasin promoter fragment driven firefly luciferase reporter assay relative to control,firefly luciferase reporter assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL3411796
126,,Agonist activity at pSG5-tagged human androgen receptor W741L mutant expressed in COS1 cells assessed as receptor-mediated transcriptional activity by AR-regulated rat probasin promoter fragment driven firefly luciferase reporter assay relative to control,firefly luciferase reporter assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL3411896
127,,Agonist activity at rat androgen receptor,ELISA,Binding,assay format,Agonist,Rattus norvegicus,,CHEMBL1912975
128,,Agonist activity at rat androgen receptor expressed in mouse skeletal muscle C2C12 cells assessed as transcriptional activation after 24 hrs by androgen-specific response element driven luciferase reporter gene assay,Competitive Binding Assay,Reporter gene,Other,Agonist,Rattus norvegicus,,CHEMBL996726
129,,Agonist activity at rat AR transfected in mouse C2C12 cells by luciferase reporter transactivation assay,Competitive Binding Assay,Reporter gene,Other,Agonist,Rattus norvegicus,,CHEMBL913353
130,,Agonist activity at wild type androgen receptor expressed in african green monkey CV1 cells assessed as induction of transcriptional activity at 1 to 1000 nM by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL1785914
131,,Agonist activity at wild type AR expressed in human SC cells assessed as effect on cell proliferation by WST-8 assay,WST-8 assay,Cell proliferation,cell-based format,Agonist,Homo sapiens,,CHEMBL3626367
132,,Agonist activity at wild type Androgen receptor in human LNCaP-hr cells assessed as prostate specific antigen secretion measured after 3 days by enzyme-immunoassay,enzyme-immunoassay,Binding,cell-based format,Agonist,Homo sapiens,,CHEMBL2339065
